Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
WORLD,1962,  438 726,  397 182,  338 340,  269 267,  250 311,  232 214,  214 618,  191 028,  159 916,  144 202,  132 328,  111 848,  88 667,  65 462,  45 500,  27 420,  13 326,  4 915,  1 199,   194,   22,74.24694649
WORLD,1963,  451 875,  404 572,  350 604,  279 887,  250 395,  236 020,  216 698,  195 459,  165 753,  143 009,  134 361,  114 159,  91 042,  67 381,  46 095,  28 339,  13 657,  5 020,  1 235,   196,   22,74.94033156
WORLD,1964,  469 079,  408 650,  362 114,  292 328,  251 004,  239 439,  218 467,  199 554,  171 491,  142 639,  136 230,  116 650,  93 447,  69 219,  46 926,  29 245,  14 064,  5 158,  1 281,   202,   23,75.5385932
WORLD,1965,  485 580,  410 218,  373 050,  306 485,  252 362,  242 254,  220 397,  203 484,  176 158,  144 409,  137 286,  119 031,  95 792,  71 146,  48 125,  29 922,  14 515,  5 327,  1 335,   213,   23,75.85436796
WORLD,1966,  501 365,  411 641,  382 487,  320 271,  255 990,  244 306,  223 246,  206 717,  180 452,  148 228,  137 214,  121 150,  97 985,  73 226,  49 515,  30 499,  14 990,  5 498,  1 391,   223,   23,75.99132064
WORLD,1967,  511 646,  416 578,  391 045,  333 031,  263 650,  245 147,  226 971,  209 161,  185 045,  153 095,  136 347,  123 161,  100 168,  75 385,  51 051,  31 032,  15 545,  5 687,  1 447,   233,   24,75.90301668
WORLD,1968,  515 804,  429 146,  398 645,  345 351,  274 077,  245 286,  230 705,  211 154,  189 424,  158 911,  135 231,  125 099,  102 411,  77 587,  52 650,  31 526,  16 154,  5 884,  1 497,   243,   25,75.7892405
WORLD,1969,  520 143,  445 916,  402 968,  356 948,  286 405,  245 982,  234 085,  212 812,  193 470,  164 616,  134 944,  126 851,  104 818,  79 761,  54 160,  32 131,  16 718,  6 096,  1 552,   253,   26,75.68058272
WORLD,1970,  526 219,  462 383,  404 660,  367 945,  300 630,  247 447,  236 937,  214 671,  197 364,  169 390,  136 826,  127 855,  107 056,  81 889,  55 720,  32 982,  17 171,  6 332,  1 622,   266,   27,75.45959678
WORLD,1971,  532 881,  478 168,  406 101,  377 354,  314 438,  251 210,  239 026,  217 588,  200 574,  173 711,  140 769,  127 729,  109 085,  83 864,  57 457,  34 057,  17 565,  6 583,  1 694,   281,   29,75.23551678
WORLD,1972,  539 731,  488 551,  411 085,  385 730,  327 065,  258 994,  239 965,  221 437,  203 071,  178 143,  145 746,  126 820,  111 109,  85 813,  59 328,  35 288,  17 957,  6 872,  1 770,   296,   30,74.91645757
WORLD,1973,  544 571,  492 871,  423 621,  393 216,  339 241,  269 459,  240 283,  225 303,  205 208,  182 444,  151 643,  125 814,  113 067,  87 906,  61 264,  36 579,  18 363,  7 201,  1 854,   311,   32,74.56864609
WORLD,1974,  546 653,  497 335,  440 283,  397 499,  350 748,  281 589,  241 167,  228 805,  207 025,  186 511,  157 307,  125 721,  114 871,  90 184,  63 216,  37 888,  18 876,  7 526,  1 952,   327,   34,74.38209231
WORLD,1975,  546 574,  503 722,  456 531,  399 209,  361 653,  295 547,  242 715,  231 757,  208 983,  190 480,  161 836,  127 767,  115 983,  92 402,  65 150,  39 316,  19 552,  7 812,  2 063,   348,   37,74.21059463
WORLD,1976,  545 127,  511 106,  472 003,  400 643,  371 043,  309 215,  246 533,  233 908,  211 983,  193 728,  165 975,  131 768,  116 095,  94 499,  67 015,  40 882,  20 347,  8 064,  2 165,   368,   39,73.98977717
WORLD,1977,  543 680,  518 685,  482 260,  405 566,  379 581,  321 835,  254 457,  234 867,  215 838,  196 236,  170 322,  136 736,  115 424,  96 584,  68 874,  42 570,  21 231,  8 320,  2 278,   388,   41,73.42709185
WORLD,1978,  542 525,  523 918,  486 666,  417 930,  387 319,  334 078,  265 052,  235 182,  219 693,  198 340,  174 528,  142 483,  114 605,  98 558,  70 837,  44 299,  22 178,  8 596,  2 416,   413,   43,72.3300975
WORLD,1979,  543 800,  526 524,  491 231,  434 239,  391 834,  345 797,  277 299,  236 071,  223 223,  200 132,  178 523,  147 947,  114 674,  100 351,  72 917,  45 952,  23 103,  8 922,  2 558,   441,   46,71.21689184
WORLD,1980,  548 692,  526 989,  497 718,  450 454,  393 870,  357 124,  291 443,  237 715,  226 225,  202 120,  182 391,  152 258,  116 650,  101 416,  74 881,  47 494,  24 070,  9 303,  2 675,   470,   49,70.25215486
WORLD,1981,  556 540,  525 763,  505 161,  466 299,  395 784,  366 999,  305 402,  241 706,  228 524,  205 104,  185 574,  156 163,  120 381,  101 488,  76 687,  48 924,  25 082,  9 722,  2 773,   497,   53,69.33879967
WORLD,1982,  567 530,  524 468,  512 866,  476 990,  400 942,  375 802,  318 215,  249 669,  229 680,  208 949,  188 033,  160 362,  124 958,  100 862,  78 518,  50 326,  26 162,  10 189,  2 878,   528,   57,68.5683885
WORLD,1983,  579 086,  523 596,  518 323,  481 878,  413 297,  383 543,  330 447,  260 224,  230 107,  212 868,  190 083,  164 456,  130 275,  100 068,  80 278,  51 812,  27 254,  10 682,  2 984,   562,   62,67.73630106
WORLD,1984,  588 952,  525 120,  521 015,  486 991,  429 677,  387 886,  342 043,  272 475,  231 036,  216 437,  191 856,  168 295,  135 430,  100 098,  81 885,  53 412,  28 304,  11 158,  3 106,   596,   66,66.86334011
WORLD,1985,  598 278,  530 389,  521 474,  494 018,  445 893,  389 605,  353 091,  286 592,  232 638,  219 459,  193 837,  172 034,  139 604,  101 976,  82 887,  54 984,  29 347,  11 672,  3 255,   628,   70,66.11251845
WORLD,1986,  607 677,  538 765,  520 267,  501 814,  461 593,  391 205,  362 671,  300 471,  236 603,  221 813,  196 781,  175 173,  143 443,  105 499,  83 034,  56 496,  30 371,  12 232,  3 423,   658,   75,65.46729993
