State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), ,State and local Spending p/capita
Wisconsin,"5,556.40",a,632.3,a,"6,188.80",a,"344,725.00",a,1.5,a,5.8,e,1067.034483
Wyoming,804.2,a,0,a,804.2,a,"39,600.80",a,1.7,a,0.6,e,1340.333333
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,,
