  Ages,2022
  0-4,"3,566"
  5-9,"4,080"
 10-14,"4,198"
 15-19,"3,851"
 20-24,"4,010"
 25-29,"4,400"
 30-34,"4,599"
 35-39,"4,435"
 40-44,"4,279"
 45-49,"4,056"
 50-54,"4,555"
 55-59,"4,611"
 60-64,"4,079"
 65-69,"3,447"
 70-74,"3,229"
 75-79,"2,748"
 80-84,"1,736"
 85-89,"1,087"
 90-94,488
 95-99,127
 100 & over,17
