LAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
South Holland,9,8,9,7,7,5,7,5,9,2,7,8,8,8,7,7,13,8,12,7,12
South Kesteven,7,11,9,7,14,13,12,8,12,8,7,16,4,10,11,6,11,15,9,13,9
South Lakeland,8,8,12,10,10,10,10,6,11,8,6,16,13,15,7,13,5,13,9,7,15
South Norfolk,9,12,6,13,9,8,12,12,8,12,10,9,8,15,15,11,7,12,7,5,15
South Oxfordshire,10,11,8,10,12,11,14,15,8,12,11,7,13,14,4,11,11,7,16,9,13
South Ribble,11,8,9,12,11,12,7,9,8,11,14,18,10,11,11,11,7,10,9,8,13
South Somerset,14,18,9,15,7,10,8,16,16,16,22,10,18,10,15,10,15,20,25,11,23
South Staffordshire,7,7,9,3,1,8,6,9,17,6,6,13,8,8,11,6,12,10,11,10,11
South Tyneside,14,7,7,10,7,8,7,10,7,12,9,7,20,12,8,10,12,11,10,11,11
South West,464,452,452,490,453,459,416,442,514,496,516,519,560,536,494,543,510,566,590,559,630
South Yorkshire (Met County),100,103,116,99,117,100,128,99,93,74,107,105,137,124,142,109,122,132,171,147,157
Southampton,21,21,15,22,31,20,7,27,18,32,20,32,28,26,29,27,24,27,21,18,24
Southend-on-Sea,24,20,16,17,18,20,22,24,20,16,12,7,14,21,18,12,17,18,28,16,14
Southwark,20,26,33,24,24,22,24,20,22,21,18,23,15,31,32,14,19,17,34,23,13
Spelthorne,13,8,10,6,7,9,6,11,9,4,9,8,11,15,5,6,2,5,10,5,7
St Albans,3,13,14,11,13,9,10,3,11,4,10,4,7,11,8,8,6,14,13,10,7
St. Helens,13,13,13,10,15,11,16,17,16,9,20,23,19,19,25,29,29,17,19,15,32
Stafford,9,14,17,11,16,12,10,15,11,7,13,12,19,15,17,19,21,16,11,19,8
Staffordshire,73,70,83,56,50,50,52,79,88,59,83,71,81,81,78,73,74,93,99,91,87
Staffordshire Moorlands,9,10,7,9,5,8,4,10,7,10,7,7,11,9,6,4,5,13,9,8,9
Stevenage,3,9,10,8,6,4,5,8,5,5,2,4,1,2,4,5,3,8,11,7,3
Stockport,27,23,20,15,37,17,24,26,39,11,24,28,42,26,27,22,19,26,23,19,21
Stockton-on-Tees,15,15,20,27,15,19,14,17,16,14,19,16,16,32,20,17,10,21,14,22,16
Stoke-on-Trent,30,33,17,18,20,16,22,20,15,29,21,37,33,17,17,23,19,32,29,30,47
Stratford-on-Avon,17,5,6,11,3,8,10,12,12,12,7,12,8,16,13,10,13,15,7,10,20
Stroud,10,7,10,9,14,12,8,6,7,9,20,15,8,12,8,9,12,10,11,11,13
Suffolk,62,59,60,54,59,52,66,77,66,60,71,54,67,66,48,65,61,67,60,81,67
Sunderland,27,25,15,33,29,28,21,28,17,36,29,32,24,25,24,21,32,29,30,45,28
Surrey,74,78,90,78,91,66,74,78,105,99,88,78,112,87,81,92,73,84,98,130,88
Surrey Heath,4,7,10,3,8,6,5,7,5,8,5,7,10,7,6,6,7,6,3,12,6
Sutton,8,6,16,4,20,10,12,15,16,12,13,17,11,11,14,10,15,15,24,18,14
Swale,6,4,9,17,9,15,10,9,15,11,7,10,19,16,17,15,15,11,10,13,19
Swansea / Abertawe,27,28,36,19,15,26,29,21,23,18,20,30,30,14,18,28,36,23,27,35,32
Swindon,17,25,24,20,11,14,8,12,16,19,11,26,21,20,12,20,14,12,17,23,26
Tameside,30,16,21,22,23,28,24,24,27,31,14,25,26,23,26,30,19,19,17,13,12
Tamworth,8,4,3,9,2,2,7,7,8,8,7,4,4,11,7,10,7,4,10,8,4
Tandridge,6,6,5,5,5,2,5,5,10,5,9,4,12,2,4,7,4,7,6,10,4
Teignbridge,13,8,8,16,13,6,9,13,17,16,8,20,12,13,11,11,14,23,15,18,16
Telford and Wrekin,15,18,17,8,14,18,9,12,14,19,12,21,18,13,19,13,20,11,16,18,19
Tendring,13,12,10,12,22,11,13,9,3,14,23,13,17,20,22,18,20,20,27,9,12
Test Valley,5,14,8,11,9,8,9,10,11,9,11,10,9,11,15,9,10,6,11,8,12
Tewkesbury,5,5,12,11,5,5,5,9,7,11,8,12,14,5,3,3,6,7,7,8,3
Thanet,20,9,14,14,8,11,17,11,13,8,17,14,9,13,22,23,10,18,21,18,14
Three Rivers,5,4,5,7,5,3,3,1,6,6,7,4,6,5,4,7,6,8,5,8,3
Thurrock,8,14,10,11,8,9,4,8,5,14,13,7,13,15,19,23,8,10,7,14,5
Tonbridge and Malling,5,6,8,6,8,7,11,7,14,11,10,8,18,7,13,13,8,8,13,16,13
Torbay,19,20,21,18,11,20,13,14,18,10,13,14,19,15,14,22,21,24,19,18,21
Torfaen / Tor-faen,10,6,9,8,7,6,13,7,7,6,8,6,3,4,9,12,7,5,0,5,7
Torridge,6,9,3,5,5,13,4,6,4,6,9,12,7,9,5,8,7,5,11,7,6
Tower Hamlets,22,27,18,19,10,24,33,18,12,20,14,21,24,23,20,20,20,30,17,16,25
Trafford,26,18,20,17,20,20,10,17,17,20,16,26,18,13,17,11,15,15,19,11,26
Tunbridge Wells,8,14,14,7,14,10,11,14,9,7,7,7,9,14,18,10,8,15,7,11,10
Tyne and Wear (Met County),110,95,95,115,91,98,78,100,83,97,102,104,102,108,95,95,101,113,96,122,112
Uttlesford,2,7,7,6,10,4,2,9,7,9,7,7,7,11,5,5,7,6,9,11,5
Vale of Glamorgan / Bro Morgannwg,11,12,7,12,11,6,14,10,8,12,14,10,17,14,24,11,15,13,13,7,21
Vale of White Horse,12,11,9,8,4,17,8,13,14,4,14,10,13,8,7,11,9,11,13,13,18
Wakefield,25,30,19,27,23,26,18,31,25,21,23,30,26,27,28,37,21,39,60,48,51
Wales,312,305,334,330,270,300,290,267,258,288,341,334,393,247,350,322,360,349,330,285,347
Walsall,22,20,14,30,22,17,18,17,20,14,12,19,19,28,25,19,21,19,25,24,16
Waltham Forest,20,17,15,18,11,13,14,12,12,24,15,19,16,20,23,18,27,17,15,15,17
Wandsworth,24,31,30,20,26,24,16,16,21,15,31,19,19,21,24,23,23,22,21,18,21
Warrington,26,20,10,17,14,18,18,15,13,11,15,15,25,24,20,11,16,14,26,11,14
Warwick,13,14,8,19,8,12,9,18,10,16,15,22,18,21,15,13,10,12,9,13,19
Warwickshire,60,40,38,48,23,34,37,49,41,53,46,57,48,65,62,55,52,45,46,50,76
Watford,6,4,11,3,7,10,6,9,5,3,5,2,7,4,6,8,6,12,5,3,2
Waverley,8,8,8,7,5,8,5,9,15,19,7,12,6,6,10,10,8,8,8,16,7
Wealden,7,15,11,10,12,16,9,6,13,13,16,16,11,21,18,15,17,17,16,12,17
Welwyn Hatfield,9,8,12,6,9,6,6,7,8,6,4,15,4,9,13,4,9,10,9,9,5
West Berkshire,8,10,10,14,20,8,8,11,10,13,11,13,18,5,6,16,13,6,21,16,11
West Devon,5,2,4,4,8,4,5,7,3,4,2,6,2,4,6,5,5,3,8,2,12
West Lancashire,3,4,9,9,8,6,7,11,9,7,10,8,12,7,6,11,14,14,12,8,16
West Lindsey,9,7,7,5,12,3,9,7,12,5,10,8,8,7,11,6,8,15,7,13,4
West Midlands,520,465,466,454,426,411,364,466,447,450,433,453,477,571,477,446,500,514,534,546,565
West Midlands (Met County),245,222,201,233,217,199,166,216,191,179,183,159,196,307,207,182,238,231,242,237,209
West Northamptonshire,35,35,36,22,21,27,29,40,29,30,34,34,29,36,31,27,36,30,38,19,43
West Oxfordshire,2,11,8,6,5,11,6,11,6,12,8,9,8,7,15,9,13,6,6,16,9
West Suffolk,14,10,13,9,13,10,12,16,20,20,16,15,16,15,9,12,7,18,7,17,18
West Sussex,80,69,76,78,67,65,56,64,45,57,62,68,69,70,81,64,59,67,90,89,86
West Yorkshire (Met County),184,193,159,209,194,170,168,193,166,169,191,216,200,189,227,192,179,251,277,235,281
Westminster,30,27,26,22,34,16,24,21,16,19,28,23,14,17,20,14,15,11,15,21,15
Wigan,40,21,27,29,32,37,41,28,40,40,43,26,39,29,35,31,30,45,41,31,34
Wiltshire,27,44,27,37,46,30,39,24,48,33,36,31,46,35,35,46,35,33,36,55,59
Winchester,13,4,4,9,5,9,13,12,15,9,9,10,6,12,10,6,8,16,13,7,12
Windsor and Maidenhead,8,11,6,8,13,11,9,11,6,5,15,9,5,11,11,13,9,11,12,10,9
Wirral,44,37,39,34,30,42,40,31,17,15,29,24,21,38,29,33,24,26,22,39,32
Woking,7,7,11,5,12,6,9,3,8,10,7,8,6,9,7,7,8,5,8,15,7
Wokingham,9,9,3,7,6,7,8,10,12,8,5,11,5,6,14,11,10,8,11,9,6
Wolverhampton,19,28,33,30,35,27,15,31,16,13,24,19,20,25,21,20,25,15,21,17,15
Worcester,6,5,11,6,5,6,9,8,4,10,8,18,7,6,12,9,9,13,6,14,11
Worcestershire,51,38,61,48,55,46,41,49,50,50,46,58,49,52,51,59,55,58,51,55,80
Worthing,18,7,20,12,10,15,7,7,12,11,1,11,10,10,7,11,10,9,13,15,13
Wrexham / Wrecsam,8,10,13,15,15,15,14,18,13,14,14,8,13,11,12,12,11,15,19,13,21
Wychavon,4,8,14,13,16,10,8,8,10,11,9,9,11,9,12,13,14,18,13,17,18
Wyre,9,11,12,9,7,8,7,11,13,14,6,9,9,10,6,15,7,14,19,9,12
Wyre Forest,14,11,19,10,7,9,7,9,8,7,7,5,8,10,7,10,10,8,9,5,14
York,11,12,14,17,15,11,13,23,14,18,18,11,30,16,28,26,20,18,23,29,20
Yorkshire and The Humber,444,455,423,472,482,403,425,454,401,380,464,482,502,451,544,469,462,577,660,550,589
