LAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chesterfield,14,10,9,14,3,7,11,5,5,10,7,5,3,21,16,9,6,9,13,14,13
Chichester,10,7,8,13,12,10,11,11,6,2,8,7,10,11,14,6,8,13,11,14,13
Chorley,13,6,8,10,5,4,14,21,10,10,8,7,8,8,10,16,12,19,20,17,17
City of London,1,0,1,1,0,2,0,1,0,1,3,1,1,2,1,0,1,1,2,1,0
Colchester,10,11,15,15,17,15,11,16,14,13,22,16,22,21,18,17,30,20,44,18,14
Conwy / Conwy,15,19,15,18,12,20,13,20,10,15,12,11,7,9,8,10,11,13,11,7,13
Copeland,8,9,8,6,7,12,11,9,4,5,12,16,9,5,9,11,7,6,11,14,8
Cornwall,59,65,59,84,62,55,55,54,50,49,63,61,65,85,71,78,64,67,56,75,73
Cotswold,3,8,4,9,9,9,5,10,11,6,9,9,4,8,9,12,5,8,13,7,12
County Durham,43,46,53,44,50,36,40,58,55,60,66,46,92,64,59,51,56,69,60,67,90
Coventry,29,21,19,29,36,26,22,30,41,27,35,27,28,28,27,13,36,29,34,31,24
Craven,9,7,7,3,6,7,1,5,8,5,4,5,4,5,1,10,4,5,6,7,3
Crawley,11,13,5,8,9,11,7,8,2,17,8,12,10,6,12,6,10,5,10,12,14
Croydon,18,20,26,20,25,39,24,10,15,19,21,25,22,36,19,26,25,42,26,16,20
Cumbria,42,53,58,64,57,49,59,39,52,47,49,58,55,52,46,70,44,51,62,70,67
Dacorum,10,15,9,5,11,7,6,13,11,9,9,13,12,7,12,10,9,10,17,9,8
Darlington,17,6,12,10,14,9,6,10,15,10,10,7,14,11,14,11,13,12,13,10,24
Dartford,8,10,5,9,8,7,7,2,9,5,9,7,11,11,13,7,8,12,9,12,2
Denbighshire / Sir Ddinbych,7,13,8,17,13,14,9,5,12,14,10,12,10,5,9,11,6,10,16,10,11
Derby,16,30,16,16,22,22,30,22,28,17,21,20,20,26,19,18,10,23,20,18,20
Derbyshire,57,64,68,51,54,46,49,39,51,51,50,56,46,87,83,55,49,73,77,87,80
Derbyshire Dales,7,5,10,7,4,5,7,4,2,2,1,4,0,8,8,4,6,7,6,11,8
Devon,68,68,56,78,77,62,57,56,80,62,76,84,71,81,69,74,73,87,93,75,95
Doncaster,24,23,31,27,27,26,25,27,23,29,23,24,30,29,22,29,33,35,41,36,45
Dorset,33,24,24,37,28,31,32,27,34,35,25,39,46,19,37,41,35,47,41,33,45
Dover,18,6,11,17,15,6,14,10,11,9,13,17,6,14,7,10,14,9,13,17,9
Dudley,32,18,24,32,20,19,16,25,15,29,21,11,20,31,30,17,30,33,24,37,25
Ealing,17,33,23,26,38,22,22,21,26,32,40,22,14,12,42,31,12,33,33,25,25
East,438,468,450,453,448,424,423,489,423,445,483,440,456,520,494,526,468,614,626,518,449
East Cambridgeshire,4,4,6,2,5,4,9,6,5,4,5,7,6,4,6,1,5,7,11,7,9
East Devon,9,11,15,15,13,12,6,7,19,9,13,12,15,13,11,9,11,11,12,9,20
East Hampshire,7,5,6,12,4,5,3,7,7,9,8,10,11,19,6,8,9,11,14,8,13
East Hertfordshire,11,2,9,8,6,4,14,5,5,7,11,8,5,11,5,5,11,9,13,10,10
East Lindsey,10,12,14,12,19,18,10,16,27,17,9,15,9,16,16,13,14,19,15,18,21
East Midlands,397,364,374,385,367,358,345,334,373,323,365,376,385,426,399,352,341,400,456,396,465
East Riding of Yorkshire,35,38,22,29,33,26,24,23,19,21,22,31,27,26,25,31,25,44,46,31,38
East Staffordshire,13,9,10,3,5,4,5,9,16,3,9,6,12,10,8,10,9,10,15,18,18
East Suffolk,22,22,19,27,17,22,31,25,20,14,19,15,18,24,19,21,22,19,22,34,21
East Sussex,48,58,57,62,58,54,42,44,48,54,65,54,55,61,56,67,67,63,66,55,58
Eastbourne,15,15,14,20,14,12,8,12,14,12,13,11,9,8,17,17,11,13,16,18,17
Eastleigh,11,12,16,5,8,10,9,12,6,7,8,7,7,7,2,10,8,12,12,14,7
Eden,2,0,6,10,4,2,6,3,2,8,1,4,7,4,4,6,3,2,2,10,7
Elmbridge,10,6,6,10,13,8,7,9,12,12,9,6,11,14,10,12,7,9,12,12,10
Enfield,29,25,24,21,20,10,6,21,17,18,14,15,22,13,21,17,19,17,14,18,12
England,4557,4436,4430,4513,4410,4178,3999,4288,4392,4202,4518,4513,4727,4882,4820,4575,4451,5021,5316,4912,5219
England and Wales,4896,4758,4798,4874,4705,4507,4313,4595,4677,4519,4880,4887,5145,5158,5199,4941,4840,5420,5691,5224,5583
Epping Forest,17,8,10,7,9,19,8,9,4,13,15,12,6,12,3,10,5,8,5,13,12
Epsom and Ewell,2,9,3,3,6,5,6,4,4,5,9,4,8,6,4,3,9,9,11,9,6
Erewash,7,6,10,6,10,4,3,7,12,6,7,11,11,12,8,9,7,10,10,11,17
Essex,102,91,99,96,112,120,92,105,92,114,150,121,118,141,135,134,149,167,185,137,96
Exeter,9,16,7,9,14,10,7,5,13,11,13,8,12,14,15,16,13,20,18,13,13
Fareham,7,12,5,5,3,9,6,7,12,5,6,10,14,4,8,6,9,8,7,6,9
Fenland,6,12,7,4,8,7,12,16,11,10,5,10,8,13,11,6,8,14,10,13,11
Flintshire / Sir y Fflint,15,13,17,20,13,16,14,11,19,14,12,15,15,15,13,13,16,19,21,7,10
Folkestone and Hythe,9,11,17,5,13,8,8,2,9,10,12,8,12,16,13,11,12,11,12,13,8
Forest of Dean,7,5,8,3,5,5,4,5,11,15,6,5,12,10,7,9,8,9,11,5,14
Fylde,5,5,6,7,5,5,3,7,3,7,5,9,5,11,10,6,7,4,8,8,8
Gateshead,16,13,14,12,17,15,14,11,14,10,11,12,15,14,17,21,13,12,12,23,16
Gedling,11,6,4,12,7,7,13,15,5,8,6,7,9,12,4,8,8,4,10,6,10
Gloucester,15,12,11,20,8,9,15,10,16,16,14,17,16,14,9,22,7,15,11,21,12
Gloucestershire,52,45,61,61,58,53,41,45,73,70,73,70,64,62,45,69,49,54,67,64,61
